# Total Pointers Found: 184105
# Format: Source_Address | Segment | Points_To_Address | Target_Name | Target_Type | Target_Detail
# Pointer size: 8
# Data xref hits: 184105
# Raw pointer hits: 0
------------------------------------------------------------------------------------------------------------------------
100005498 | __text | 1001EBD70 | off_1001EBD70 | data_pointer | data_item_size=8
100005AE8 | __text | 1001EB5EC | dword_1001EB5EC | data_pointer | data_item_size=4
100005AEC | __text | 1001EB5F0 | dword_1001EB5F0 | data_pointer | data_item_size=4
100005AF0 | __text | 1001EB5F0 | dword_1001EB5F0 | data_pointer | data_item_size=4
100005B38 | __text | 1001EF778 | off_1001EF778 | data_pointer | data_item_size=8
100005B5C | __text | 1001EF788 | off_1001EF788 | data_pointer | data_item_size=8
100005B78 | __text | 1001EF798 | off_1001EF798 | data_pointer | data_item_size=8
100005B9C | __text | 1001EF828 | off_1001EF828 | data_pointer | data_item_size=8
100005BC0 | __text | 1001EF838 | off_1001EF838 | data_pointer | data_item_size=8
100005BDC | __text | 1001EF848 | off_1001EF848 | data_pointer | data_item_size=8
100005C64 | __text | 1001E99F0 | selRef_initWithSettings:password:X__PPIOS_DOUBLE_OBFUSCATION_GUARD__:z4dgrmuM... | data_pointer | data_item_size=8
100005C68 | __text | 1001E6D6F | sel_initWithSettings:password:X__PPIOS_DOUBLE_OBFUSCATION_GUARD__:z4dgrmuM:d1... | string_pointer | "initWithSettings:password:X__PPIOS_DOUBLE_OBFUSCATION_GUARD__:z4dgrmuM:d1Gyo3..."
100005C68 | __text | 1001E99F0 | selRef_initWithSettings:password:X__PPIOS_DOUBLE_OBFUSCATION_GUARD__:z4dgrmuM... | data_pointer | data_item_size=8
100005C84 | __text | 1001E86A0 | stru_1001E86A0 | struct_pointer | struct_data
100005C9C | __text | 1001EF718 | off_1001EF718 | data_pointer | data_item_size=8
100005CE4 | __text | 1001EF768 | off_1001EF768 | data_pointer | data_item_size=8
100005D14 | __text | 1001EF818 | off_1001EF818 | data_pointer | data_item_size=8
100005D50 | __text | 1001EF7B8 | off_1001EF7B8 | data_pointer | data_item_size=8
100005D68 | __text | 1001E9598 | selRef_a7qSOe7f:data:error: | data_pointer | data_item_size=8
100005D6C | __text | 1001E62A1 | sel_a7qSOe7f:data:error: | string_pointer | "a7qSOe7f:data:error:"
100005D6C | __text | 1001E9598 | selRef_a7qSOe7f:data:error: | data_pointer | data_item_size=8
100005DC4 | __text | 1001EF868 | off_1001EF868 | data_pointer | data_item_size=8
100005DD8 | __text | 1001EB5DC | dword_1001EB5DC | data_pointer | data_item_size=4
100005DDC | __text | 1001EB5DC | dword_1001EB5DC | data_pointer | data_item_size=4
100005DE0 | __text | 1001EB5E0 | dword_1001EB5E0 | data_pointer | data_item_size=4
100005DE4 | __text | 1001EB5E0 | dword_1001EB5E0 | data_pointer | data_item_size=4
100005E28 | __text | 1001EF758 | off_1001EF758 | data_pointer | data_item_size=8
100005E3C | __text | 1001EB5F4 | dword_1001EB5F4 | data_pointer | data_item_size=4
100005E40 | __text | 1001EB5F4 | dword_1001EB5F4 | data_pointer | data_item_size=4
100005E44 | __text | 1001EB5F8 | dword_1001EB5F8 | data_pointer | data_item_size=4
100005E48 | __text | 1001EB5F8 | dword_1001EB5F8 | data_pointer | data_item_size=4
100005E6C | __text | 1001E9598 | selRef_a7qSOe7f:data:error: | data_pointer | data_item_size=8
100005E70 | __text | 1001E62A1 | sel_a7qSOe7f:data:error: | string_pointer | "a7qSOe7f:data:error:"
100005E70 | __text | 1001E9598 | selRef_a7qSOe7f:data:error: | data_pointer | data_item_size=8
100005ED0 | __text | 1001EF808 | off_1001EF808 | data_pointer | data_item_size=8
100005F08 | __text | 1001EF7A8 | off_1001EF7A8 | data_pointer | data_item_size=8
100005F1C | __text | 1001EB5D4 | dword_1001EB5D4 | data_pointer | data_item_size=4
100005F20 | __text | 1001EB5D4 | dword_1001EB5D4 | data_pointer | data_item_size=4
100005F24 | __text | 1001EB5D8 | dword_1001EB5D8 | data_pointer | data_item_size=4
100005F28 | __text | 1001EB5D8 | dword_1001EB5D8 | data_pointer | data_item_size=4
100005F8C | __text | 1001EF858 | off_1001EF858 | data_pointer | data_item_size=8
100005FA0 | __text | 1001EBF28 | off_1001EBF28 | data_pointer | data_item_size=8
100005FA4 | __text | 1000060F8 | loc_1000060F8 | code_pointer | inside_sub_100005A54
100005FA4 | __text | 1001EBF28 | off_1001EBF28 | data_pointer | data_item_size=8
100005FB0 | __text | 1001EB5E4 | dword_1001EB5E4 | data_pointer | data_item_size=4
100005FB4 | __text | 1001EB5E4 | dword_1001EB5E4 | data_pointer | data_item_size=4
100005FB8 | __text | 1001EB5E8 | dword_1001EB5E8 | data_pointer | data_item_size=4
100005FBC | __text | 1001EB5E8 | dword_1001EB5E8 | data_pointer | data_item_size=4
100006068 | __text | 1001E99F0 | selRef_initWithSettings:password:X__PPIOS_DOUBLE_OBFUSCATION_GUARD__:z4dgrmuM... | data_pointer | data_item_size=8
10000606C | __text | 1001E6D6F | sel_initWithSettings:password:X__PPIOS_DOUBLE_OBFUSCATION_GUARD__:z4dgrmuM:d1... | string_pointer | "initWithSettings:password:X__PPIOS_DOUBLE_OBFUSCATION_GUARD__:z4dgrmuM:d1Gyo3..."
10000606C | __text | 1001E99F0 | selRef_initWithSettings:password:X__PPIOS_DOUBLE_OBFUSCATION_GUARD__:z4dgrmuM... | data_pointer | data_item_size=8
10000608C | __text | 1001E86A0 | stru_1001E86A0 | struct_pointer | struct_data
1000060C8 | __text | 1001EF718 | off_1001EF718 | data_pointer | data_item_size=8
1000060F8 | __text | 1001EBF90 | off_1001EBF90 | data_pointer | data_item_size=8
1000060FC | __text | 1000060F8 | loc_1000060F8 | code_pointer | inside_sub_100005A54
1000060FC | __text | 1001EBF90 | off_1001EBF90 | data_pointer | data_item_size=8
100006184 | __text | 1001EB5FC | dword_1001EB5FC | data_pointer | data_item_size=4
100006188 | __text | 1001EB5FC | dword_1001EB5FC | data_pointer | data_item_size=4
10000618C | __text | 1001EB600 | dword_1001EB600 | data_pointer | data_item_size=4
100006190 | __text | 1001EB600 | dword_1001EB600 | data_pointer | data_item_size=4
1000061BC | __text | 1001EBF98 | off_1001EBF98 | data_pointer | data_item_size=8
1000061C4 | __text | 1001EF878 | off_1001EF878 | data_pointer | data_item_size=8
1000061D0 | __text | 1000061D0 | loc_1000061D0 | code_pointer | inside_sub_10000612C
1000061D0 | __text | 1001EBF98 | off_1001EBF98 | data_pointer | data_item_size=8
1000061DC | __text | 1000061E4 | loc_1000061E4 | code_pointer | inside_sub_10000612C
1000061DC | __text | 1001EBFA0 | off_1001EBFA0 | data_pointer | data_item_size=8
100006200 | __text | 1001EF888 | off_1001EF888 | data_pointer | data_item_size=8
10000621C | __text | 1001EF898 | off_1001EF898 | data_pointer | data_item_size=8
100006240 | __text | 1001EF8A8 | off_1001EF8A8 | data_pointer | data_item_size=8
10000625C | __text | 1001EF8B8 | off_1001EF8B8 | data_pointer | data_item_size=8
10000628C | __text | 1001EF938 | off_1001EF938 | data_pointer | data_item_size=8
1000062B0 | __text | 1001EF948 | off_1001EF948 | data_pointer | data_item_size=8
1000062D4 | __text | 1001EF958 | off_1001EF958 | data_pointer | data_item_size=8
1000062F0 | __text | 1001EF968 | off_1001EF968 | data_pointer | data_item_size=8
100006314 | __text | 1001EB614 | dword_1001EB614 | data_pointer | data_item_size=4
100006318 | __text | 1001EB614 | dword_1001EB614 | data_pointer | data_item_size=4
10000631C | __text | 1001EB618 | dword_1001EB618 | data_pointer | data_item_size=4
100006320 | __text | 1001EB618 | dword_1001EB618 | data_pointer | data_item_size=4
100006358 | __text | 1001EF8E8 | off_1001EF8E8 | data_pointer | data_item_size=8
10000637C | __text | 1001EF8F8 | off_1001EF8F8 | data_pointer | data_item_size=8
100006398 | __text | 1001EF908 | off_1001EF908 | data_pointer | data_item_size=8
1000063B4 | __text | 1001EB624 | dword_1001EB624 | data_pointer | data_item_size=4
1000063B8 | __text | 1001EB624 | dword_1001EB624 | data_pointer | data_item_size=4
1000063BC | __text | 1001EB628 | dword_1001EB628 | data_pointer | data_item_size=4
1000063C0 | __text | 1001EB628 | dword_1001EB628 | data_pointer | data_item_size=4
100006408 | __text | 1001EF998 | off_1001EF998 | data_pointer | data_item_size=8
10000642C | __text | 1001EF9A8 | off_1001EF9A8 | data_pointer | data_item_size=8
100006448 | __text | 1001EF9B8 | off_1001EF9B8 | data_pointer | data_item_size=8
100006478 | __text | 1001EF8D8 | off_1001EF8D8 | data_pointer | data_item_size=8
100006494 | __text | 1001EB61C | dword_1001EB61C | data_pointer | data_item_size=4
100006498 | __text | 1001EB61C | dword_1001EB61C | data_pointer | data_item_size=4
10000649C | __text | 1001EB620 | dword_1001EB620 | data_pointer | data_item_size=4
1000064A0 | __text | 1001EB620 | dword_1001EB620 | data_pointer | data_item_size=4
1000064EC | __text | 1001EF988 | off_1001EF988 | data_pointer | data_item_size=8
100006508 | __text | 1001EB60C | dword_1001EB60C | data_pointer | data_item_size=4
10000650C | __text | 1001EB60C | dword_1001EB60C | data_pointer | data_item_size=4
100006510 | __text | 1001EB610 | dword_1001EB610 | data_pointer | data_item_size=4
100006514 | __text | 1001EB610 | dword_1001EB610 | data_pointer | data_item_size=4
10000655C | __text | 1001EF928 | off_1001EF928 | data_pointer | data_item_size=8
10000658C | __text | 1001EF9D8 | off_1001EF9D8 | data_pointer | data_item_size=8
1000065D8 | __text | 1001EF8C8 | off_1001EF8C8 | data_pointer | data_item_size=8
100006604 | __text | 1001EF978 | off_1001EF978 | data_pointer | data_item_size=8
10000663C | __text | 1001EF918 | off_1001EF918 | data_pointer | data_item_size=8
100006660 | __text | 1001EF9C8 | off_1001EF9C8 | data_pointer | data_item_size=8
10000667C | __text | 1001EC060 | off_1001EC060 | data_pointer | data_item_size=8
100006680 | __text | 100006688 | loc_100006688 | code_pointer | inside_sub_100006278
100006680 | __text | 1001EC060 | off_1001EC060 | data_pointer | data_item_size=8
100006724 | __text | 1001EC0D0 | off_1001EC0D0 | data_pointer | data_item_size=8
100006730 | __text | 1001EF9E8 | off_1001EF9E8 | data_pointer | data_item_size=8
10000673C | __text | 10000673C | loc_10000673C | code_pointer | inside_sub_1000066C0
10000673C | __text | 1001EC0D0 | off_1001EC0D0 | data_pointer | data_item_size=8
100006748 | __text | 100006750 | loc_100006750 | code_pointer | inside_sub_1000066C0
100006748 | __text | 1001EC0D8 | off_1001EC0D8 | data_pointer | data_item_size=8
10000676C | __text | 1001EF9F8 | off_1001EF9F8 | data_pointer | data_item_size=8
100006790 | __text | 1001EFA08 | off_1001EFA08 | data_pointer | data_item_size=8
1000067AC | __text | 1001EFA18 | off_1001EFA18 | data_pointer | data_item_size=8
1000067C8 | __text | 1001EFA48 | off_1001EFA48 | data_pointer | data_item_size=8
1000067E4 | __text | 1001EFA58 | off_1001EFA58 | data_pointer | data_item_size=8
100006824 | __text | 1001EFA38 | off_1001EFA38 | data_pointer | data_item_size=8
100006838 | __text | 1001EB634 | dword_1001EB634 | data_pointer | data_item_size=4
10000683C | __text | 1001EB634 | dword_1001EB634 | data_pointer | data_item_size=4
100006840 | __text | 1001EB638 | dword_1001EB638 | data_pointer | data_item_size=4
100006844 | __text | 1001EB638 | dword_1001EB638 | data_pointer | data_item_size=4
100006888 | __text | 1001E99E8 | selRef_initWithSettings:encryptionKey:f1nqpjT0:handler: | data_pointer | data_item_size=8
10000688C | __text | 1001E6D3E | sel_initWithSettings:encryptionKey:f1nqpjT0:handler: | string_pointer | "initWithSettings:encryptionKey:f1nqpjT0:handler:"
10000688C | __text | 1001E99E8 | selRef_initWithSettings:encryptionKey:f1nqpjT0:handler: | data_pointer | data_item_size=8
1000068B8 | __text | 1001EFA68 | off_1001EFA68 | data_pointer | data_item_size=8
1000068CC | __text | 1001EB62C | dword_1001EB62C | data_pointer | data_item_size=4
1000068D0 | __text | 1001EB62C | dword_1001EB62C | data_pointer | data_item_size=4
1000068D4 | __text | 1001EB630 | dword_1001EB630 | data_pointer | data_item_size=4
1000068D8 | __text | 1001EB630 | dword_1001EB630 | data_pointer | data_item_size=4
100006938 | __text | 1001EFA28 | off_1001EFA28 | data_pointer | data_item_size=8
10000694C | __text | 1001EC128 | off_1001EC128 | data_pointer | data_item_size=8
100006950 | __text | 100006958 | loc_100006958 | code_pointer | inside_sub_1000067F8
100006950 | __text | 1001EC128 | off_1001EC128 | data_pointer | data_item_size=8
100006994 | __text | 1001E86C0 | stru_1001E86C0 | struct_pointer | struct_data
1000069C4 | __text | 1001E9598 | selRef_a7qSOe7f:data:error: | data_pointer | data_item_size=8
1000069C8 | __text | 1001E62A1 | sel_a7qSOe7f:data:error: | string_pointer | "a7qSOe7f:data:error:"
1000069C8 | __text | 1001E9598 | selRef_a7qSOe7f:data:error: | data_pointer | data_item_size=8
100006A74 | __text | 1001EC160 | off_1001EC160 | data_pointer | data_item_size=8
100006A7C | __text | 1001EFA78 | off_1001EFA78 | data_pointer | data_item_size=8
100006A90 | __text | 100006A90 | loc_100006A90 | code_pointer | inside_sub_100006A1C
100006A90 | __text | 1001EC160 | off_1001EC160 | data_pointer | data_item_size=8
100006A9C | __text | 100006AA4 | loc_100006AA4 | code_pointer | inside_sub_100006A1C
100006A9C | __text | 1001EC168 | off_1001EC168 | data_pointer | data_item_size=8
100006AC0 | __text | 1001EFA88 | off_1001EFA88 | data_pointer | data_item_size=8
100006AE4 | __text | 1001EFA98 | off_1001EFA98 | data_pointer | data_item_size=8
100006B00 | __text | 1001EFAA8 | off_1001EFAA8 | data_pointer | data_item_size=8
100006B1C | __text | 1001EB63C | dword_1001EB63C | data_pointer | data_item_size=4
100006B20 | __text | 1001EB63C | dword_1001EB63C | data_pointer | data_item_size=4
100006B24 | __text | 1001EB640 | dword_1001EB640 | data_pointer | data_item_size=4
100006B28 | __text | 1001EB640 | dword_1001EB640 | data_pointer | data_item_size=4
100006B58 | __text | 1001EFAF8 | off_1001EFAF8 | data_pointer | data_item_size=8
100006B7C | __text | 1001EFB08 | off_1001EFB08 | data_pointer | data_item_size=8
100006B98 | __text | 1001EFB18 | off_1001EFB18 | data_pointer | data_item_size=8
100006BC8 | __text | 1001EFAC8 | off_1001EFAC8 | data_pointer | data_item_size=8
100006BE4 | __text | 1001EFAD8 | off_1001EFAD8 | data_pointer | data_item_size=8
100006BF8 | __text | 1001EB644 | dword_1001EB644 | data_pointer | data_item_size=4
100006BFC | __text | 1001EB644 | dword_1001EB644 | data_pointer | data_item_size=4
100006C00 | __text | 1001EB648 | dword_1001EB648 | data_pointer | data_item_size=4
100006C04 | __text | 1001EB648 | dword_1001EB648 | data_pointer | data_item_size=4
100006C6C | __text | 1001EFB38 | off_1001EFB38 | data_pointer | data_item_size=8
100006C88 | __text | 1001EFB48 | off_1001EFB48 | data_pointer | data_item_size=8
100006CB0 | __text | 1001EFAB8 | off_1001EFAB8 | data_pointer | data_item_size=8
100006CD4 | __text | 1001EB64C | dword_1001EB64C | data_pointer | data_item_size=4
100006CD8 | __text | 1001EB64C | dword_1001EB64C | data_pointer | data_item_size=4
100006CDC | __text | 1001EB650 | dword_1001EB650 | data_pointer | data_item_size=4
100006CE0 | __text | 1001EB650 | dword_1001EB650 | data_pointer | data_item_size=4
100006D20 | __text | 1001EFB28 | off_1001EFB28 | data_pointer | data_item_size=8
100006D3C | __text | 1001EB654 | dword_1001EB654 | data_pointer | data_item_size=4
100006D40 | __text | 1001EB654 | dword_1001EB654 | data_pointer | data_item_size=4
100006D44 | __text | 1001EB658 | dword_1001EB658 | data_pointer | data_item_size=4
100006D48 | __text | 1001EB658 | dword_1001EB658 | data_pointer | data_item_size=4
100006D98 | __text | 1001EFAE8 | off_1001EFAE8 | data_pointer | data_item_size=8
100006DBC | __text | 1001EFB58 | off_1001EFB58 | data_pointer | data_item_size=8
100006E68 | __text | 1001EB65C | dword_1001EB65C | data_pointer | data_item_size=4
100006E6C | __text | 1001EB65C | dword_1001EB65C | data_pointer | data_item_size=4
100006E70 | __text | 1001EB660 | dword_1001EB660 | data_pointer | data_item_size=4
100006E74 | __text | 1001EB660 | dword_1001EB660 | data_pointer | data_item_size=4
100006EAC | __text | 1001EC238 | off_1001EC238 | data_pointer | data_item_size=8
100006EB4 | __text | 1001EFB68 | off_1001EFB68 | data_pointer | data_item_size=8
100006EBC | __text | 1001EFB78 | off_1001EFB78 | data_pointer | data_item_size=8
100006ECC | __text | 100006ECC | loc_100006ECC | code_pointer | inside_sub_100006E10
100006ECC | __text | 1001EC238 | off_1001EC238 | data_pointer | data_item_size=8
100006ED8 | __text | 100006EE0 | loc_100006EE0 | code_pointer | inside_sub_100006E10
100006ED8 | __text | 1001EC240 | off_1001EC240 | data_pointer | data_item_size=8
100006F18 | __text | 1001EFB88 | off_1001EFB88 | data_pointer | data_item_size=8
100006F3C | __text | 1001EFB98 | off_1001EFB98 | data_pointer | data_item_size=8
100006F58 | __text | 1001EFBA8 | off_1001EFBA8 | data_pointer | data_item_size=8
100006FBC | __text | 1001EFC28 | off_1001EFC28 | data_pointer | data_item_size=8
100006FE0 | __text | 1001EFC38 | off_1001EFC38 | data_pointer | data_item_size=8
100007004 | __text | 1001EFC48 | off_1001EFC48 | data_pointer | data_item_size=8
100007028 | __text | 1001EFC58 | off_1001EFC58 | data_pointer | data_item_size=8
10000704C | __text | 1001EFBD8 | off_1001EFBD8 | data_pointer | data_item_size=8
100007070 | __text | 1001EFBE8 | off_1001EFBE8 | data_pointer | data_item_size=8
10000708C | __text | 1001EFBF8 | off_1001EFBF8 | data_pointer | data_item_size=8
10000709C | __text | 1001EFB78 | off_1001EFB78 | data_pointer | data_item_size=8
1000070BC | __text | 1001EFC88 | off_1001EFC88 | data_pointer | data_item_size=8
1000070E0 | __text | 1001EFC98 | off_1001EFC98 | data_pointer | data_item_size=8
1000070FC | __text | 1001EFCA8 | off_1001EFCA8 | data_pointer | data_item_size=8
100007118 | __text | 1001EB674 | dword_1001EB674 | data_pointer | data_item_size=4
10000711C | __text | 1001EB674 | dword_1001EB674 | data_pointer | data_item_size=4
100007120 | __text | 1001EB678 | dword_1001EB678 | data_pointer | data_item_size=4
100007124 | __text | 1001EB678 | dword_1001EB678 | data_pointer | data_item_size=4
10000718C | __text | 1001E86E0 | stru_1001E86E0 | struct_pointer | struct_data
1000071B4 | __text | 1001E9598 | selRef_a7qSOe7f:data:error: | data_pointer | data_item_size=8
1000071B8 | __text | 1001E62A1 | sel_a7qSOe7f:data:error: | string_pointer | "a7qSOe7f:data:error:"
1000071B8 | __text | 1001E9598 | selRef_a7qSOe7f:data:error: | data_pointer | data_item_size=8
1000071F0 | __text | 1001EFB78 | off_1001EFB78 | data_pointer | data_item_size=8
10000721C | __text | 1001EFBC8 | off_1001EFBC8 | data_pointer | data_item_size=8
100007260 | __text | 1001EFC78 | off_1001EFC78 | data_pointer | data_item_size=8
100007274 | __text | 1001EB684 | dword_1001EB684 | data_pointer | data_item_size=4
100007278 | __text | 1001EB684 | dword_1001EB684 | data_pointer | data_item_size=4
10000727C | __text | 1001EB688 | dword_1001EB688 | data_pointer | data_item_size=4
100007280 | __text | 1001EB688 | dword_1001EB688 | data_pointer | data_item_size=4
1000072A4 | __text | 1001EFB78 | off_1001EFB78 | data_pointer | data_item_size=8
1000072C4 | __text | 1001EFC18 | off_1001EFC18 | data_pointer | data_item_size=8
1000072D8 | __text | 1001EB67C | dword_1001EB67C | data_pointer | data_item_size=4
1000072DC | __text | 1001EB67C | dword_1001EB67C | data_pointer | data_item_size=4
1000072E0 | __text | 1001EB680 | dword_1001EB680 | data_pointer | data_item_size=4
1000072E4 | __text | 1001EB680 | dword_1001EB680 | data_pointer | data_item_size=4
100007334 | __text | 1001EFCC8 | off_1001EFCC8 | data_pointer | data_item_size=8
100007374 | __text | 1001EFBB8 | off_1001EFBB8 | data_pointer | data_item_size=8
1000073A4 | __text | 1001EFC68 | off_1001EFC68 | data_pointer | data_item_size=8
1000073F8 | __text | 1001E99E0 | selRef_initWithSettings:encryptionKey:f1nqpjT0:X__PPIOS_DOUBLE_OBFUSCATION_GU... | data_pointer | data_item_size=8
1000073FC | __text | 1001E6CE9 | sel_initWithSettings:encryptionKey:f1nqpjT0:X__PPIOS_DOUBLE_OBFUSCATION_GUARD... | string_pointer | "initWithSettings:encryptionKey:f1nqpjT0:X__PPIOS_DOUBLE_OBFUSCATION_GUARD__:h..."
1000073FC | __text | 1001E99E0 | selRef_initWithSettings:encryptionKey:f1nqpjT0:X__PPIOS_DOUBLE_OBFUSCATION_GU... | data_pointer | data_item_size=8
100007428 | __text | 1001EFC08 | off_1001EFC08 | data_pointer | data_item_size=8
100007438 | __text | 1001EFB78 | off_1001EFB78 | data_pointer | data_item_size=8
100007480 | __text | 1001E86E0 | stru_1001E86E0 | struct_pointer | struct_data
1000074A8 | __text | 1001E9598 | selRef_a7qSOe7f:data:error: | data_pointer | data_item_size=8
1000074AC | __text | 1001E62A1 | sel_a7qSOe7f:data:error: | string_pointer | "a7qSOe7f:data:error:"
1000074AC | __text | 1001E9598 | selRef_a7qSOe7f:data:error: | data_pointer | data_item_size=8
1000074F4 | __text | 1001EFCB8 | off_1001EFCB8 | data_pointer | data_item_size=8
100007508 | __text | 1001EC300 | off_1001EC300 | data_pointer | data_item_size=8
10000750C | __text | 10000757C | loc_10000757C | code_pointer | inside_sub_100006F74
10000750C | __text | 1001EC300 | off_1001EC300 | data_pointer | data_item_size=8
100007518 | __text | 1001EB66C | dword_1001EB66C | data_pointer | data_item_size=4
10000751C | __text | 1001EB66C | dword_1001EB66C | data_pointer | data_item_size=4
100007520 | __text | 1001EB670 | dword_1001EB670 | data_pointer | data_item_size=4
100007524 | __text | 1001EB670 | dword_1001EB670 | data_pointer | data_item_size=4
1000075FC | __text | 1001EB68C | dword_1001EB68C | data_pointer | data_item_size=4
100007600 | __text | 1001EB68C | dword_1001EB68C | data_pointer | data_item_size=4
100007604 | __text | 1001EB690 | dword_1001EB690 | data_pointer | data_item_size=4
100007608 | __text | 1001EB690 | dword_1001EB690 | data_pointer | data_item_size=4
100007638 | __text | 1001EC370 | off_1001EC370 | data_pointer | data_item_size=8
100007640 | __text | 1001EFCD8 | off_1001EFCD8 | data_pointer | data_item_size=8
100007654 | __text | 100007654 | loc_100007654 | code_pointer | inside_sub_1000075AC
100007654 | __text | 1001EC370 | off_1001EC370 | data_pointer | data_item_size=8
100007660 | __text | 100007668 | loc_100007668 | code_pointer | inside_sub_1000075AC
100007660 | __text | 1001EC378 | off_1001EC378 | data_pointer | data_item_size=8
